player,nationality,position,team,age,sca,sca_per90,gca,gca_per90
Aaron Cresswell,engENG,DF,West Ham,35-117,12,1.83,0,0.00
Marc Cucurella,esESP,DF,Chelsea,26-263,39,1.49,4,0.15
Jorge Cuenca,esESP,DF,Fulham,25-145,1,0.35,0,0.00
Matheus Cunha,brBRA,"MF,FW",Wolves,25-319,98,4.12,9,0.38
Patson Daka,zmZAM,"FW,MF",Leicester City,26-184,8,1.23,1,0.15
Diogo Dalot,ptPOR,DF,Manchester Utd,26-024,72,2.43,4,0.14
Mikkel Damsgaard,dkDEN,"MF,FW",Brentford,24-282,104,4.02,18,0.70
Danilo,brBRA,"MF,FW",Nott'ham Forest,23-347,6,2.58,2,0.86
Jayden Danns,engENG,MF,Liverpool,19-085,0,0.00,0,0.00
Kevin Danso,atAUT,DF,Tottenham,26-204,3,0.78,2,0.52
Ben Davies,wlsWAL,DF,Tottenham,31-352,3,0.33,0,0.00
Leif Davis,engENG,DF,Ipswich Town,25-089,84,3.06,4,0.15
Craig Dawson,engENG,DF,Wolves,34-340,7,0.65,2,0.19
Kevin De Bruyne,beBEL,MF,Manchester City,33-287,81,6.11,10,0.75
Liam Delap,engENG,FW,Ipswich Town,22-062,59,2.29,7,0.27
Sepp van den Berg,nlNED,DF,Brentford,23-112,19,0.87,2,0.09
Justin Devenny,nirNIR,MF,Crystal Palace,21-182,9,2.43,0,0.00
Kiernan Dewsbury-Hall,engENG,"MF,FW",Chelsea,26-217,5,1.74,1,0.35
Amad Diallo,ciCIV,"FW,MF",Manchester Utd,22-274,80,4.52,16,0.90
Rúben Dias,ptPOR,DF,Manchester City,27-332,19,1.04,0,0.00
Luis Díaz,coCOL,FW,Liverpool,28-088,103,4.70,16,0.73
Tyler Dibling,engENG,"FW,MF",Southampton,19-030,54,3.00,4,0.22
Lucas Digne,frFRA,DF,Aston Villa,31-265,59,2.47,5,0.21
Issa Diop,frFRA,DF,Fulham,28-092,6,0.40,0,0.00
Axel Disasi,frFRA,DF,Aston Villa,27-031,9,1.76,0,0.00
Axel Disasi,frFRA,DF,Chelsea,27-031,2,0.49,0,0.00
Roman Dixon,engENG,DF,Everton,20-106,0,0.00,0,0.00
Nasser Djiga,bfBFA,DF,Wolves,22-147,0,0.00,0,0.00
Matt Doherty,ieIRL,DF,Wolves,33-085,24,1.22,3,0.15
Jeremy Doku,beBEL,"FW,MF",Manchester City,22-319,60,4.25,9,0.64
Nicolás Domínguez,arARG,"MF,FW",Nott'ham Forest,26-287,26,1.57,0,0.00
Patrick Dorgu,dkDEN,DF,Manchester Utd,20-167,10,2.24,1,0.22
Alfie Dorrington,engENG,DF,Tottenham,19-356,0,0.00,0,0.00
Abdoulaye Doucouré,mlMLI,MF,Everton,32-100,47,1.96,2,0.08
Cheick Doucouré,mlMLI,MF,Crystal Palace,25-093,9,1.79,3,0.60
Flynn Downes,engENG,MF,Southampton,26-081,25,1.40,2,0.11
Tommy Doyle,engENG,MF,Wolves,23-176,17,3.13,3,0.55
Radu Drăgușin,roROU,DF,Tottenham,23-067,8,0.58,1,0.07
Martin Dúbravka,skSVK,GK,Newcastle Utd,36-086,0,0.00,0,0.00
Lewis Dunk,engENG,DF,Brighton,33-141,16,0.84,3,0.16
Jáder Durán,coCOL,FW,Aston Villa,21-119,18,2.54,1,0.14
Ederson,brBRA,GK,Manchester City,31-237,5,0.24,3,0.14
George Edmundson,engENG,DF,Ipswich Town,27-223,0,0.00,0,0.00
Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-085,1,0.78,0,0.00
Odsonne Édouard,frFRA,FW,Leicester City,27-085,2,6.21,0,0.00
Samuel Edozie,engENG,"DF,FW",Southampton,22-073,4,5.54,0,0.00
Ronnie Edwards,engENG,DF,Southampton,22-014,0,0.00,0,0.00
Anthony Elanga,seSWE,FW,Nott'ham Forest,22-349,81,3.69,13,0.59
Harvey Elliott,engENG,"MF,FW",Liverpool,22-007,9,4.94,2,1.10
Yunus Emre Konak,trTUR,"FW,MF",Brentford,19-091,0,0.00,0,0.00
Julio Enciso,pyPAR,"FW,MF",Ipswich Town,21-078,18,3.77,2,0.42
Julio Enciso,pyPAR,"MF,FW",Brighton,21-078,12,3.69,0,0.00
Wataru Endo,jpJPN,MF,Liverpool,32-061,3,1.80,0,0.00
Christian Eriksen,dkDEN,MF,Manchester Utd,33-056,39,4.31,6,0.66
Romain Esse,engENG,MF,Crystal Palace,19-333,0,0.00,0,0.00
Pervis Estupiñán,ecECU,DF,Brighton,27-080,43,2.08,4,0.19
Evanilson,brBRA,FW,Bournemouth,25-187,53,2.77,7,0.37
Jonny Evans,nirNIR,DF,Manchester Utd,37-098,2,0.62,0,0.00
Eberechi Eze,engENG,"MF,FW",Crystal Palace,26-286,112,4.81,9,0.39
Łukasz Fabiański,plPOL,GK,West Ham,39-358,3,0.25,0,0.00
Wout Faes,beBEL,DF,Leicester City,27-008,12,0.47,0,0.00
Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,21-034,17,2.64,3,0.47
João Félix,ptPOR,"FW,MF",Chelsea,25-152,18,4.38,3,0.73
Evan Ferguson,ieIRL,FW,West Ham,20-174,4,2.57,0,0.00
Evan Ferguson,ieIRL,FW,Brighton,20-174,4,1.47,0,0.00
Bruno Fernandes,ptPOR,MF,Manchester Utd,30-215,153,5.39,12,0.42
