player,nationality,position,team,age,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions
Cheick Doucouré,mlMLI,MF,Crystal Palace,25-093,16,8,11,6,4,0,4,11
Flynn Downes,engENG,MF,Southampton,26-081,40,21,31,18,20,4,16,29
Tommy Doyle,engENG,MF,Wolves,23-176,11,6,15,9,11,5,6,5
Radu Drăgușin,roROU,DF,Tottenham,23-067,10,6,12,6,22,16,6,15
Martin Dúbravka,skSVK,GK,Newcastle Utd,36-086,0,0,0,0,0,0,0,0
Lewis Dunk,engENG,DF,Brighton,33-141,16,9,15,5,20,14,6,11
Jáder Durán,coCOL,FW,Aston Villa,21-119,8,7,4,3,5,0,5,0
Ederson,brBRA,GK,Manchester City,31-237,0,0,2,2,0,0,0,1
George Edmundson,engENG,DF,Ipswich Town,27-223,0,0,0,0,0,0,0,0
Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-085,1,0,2,2,1,0,1,0
Odsonne Édouard,frFRA,FW,Leicester City,27-085,1,1,0,0,0,0,0,0
Samuel Edozie,engENG,"DF,FW",Southampton,22-073,3,1,2,0,0,0,0,0
Ronnie Edwards,engENG,DF,Southampton,22-014,0,0,0,0,1,1,0,0
Anthony Elanga,seSWE,FW,Nott'ham Forest,22-349,17,12,15,11,9,1,8,5
Harvey Elliott,engENG,"MF,FW",Liverpool,22-007,3,2,3,3,3,1,2,0
Yunus Emre Konak,trTUR,"FW,MF",Brentford,19-091,4,4,2,1,0,0,0,0
Julio Enciso,pyPAR,"FW,MF",Ipswich Town,21-078,5,3,3,1,2,0,2,1
Julio Enciso,pyPAR,"MF,FW",Brighton,21-078,0,0,2,2,2,0,2,0
Wataru Endo,jpJPN,MF,Liverpool,32-061,8,6,8,3,3,0,3,3
Christian Eriksen,dkDEN,MF,Manchester Utd,33-056,13,5,16,9,10,4,6,7
Romain Esse,engENG,MF,Crystal Palace,19-333,1,1,1,0,0,0,0,0
Pervis Estupiñán,ecECU,DF,Brighton,27-080,47,31,35,12,12,2,10,25
Evanilson,brBRA,FW,Bournemouth,25-187,11,6,9,4,8,1,7,0
Jonny Evans,nirNIR,DF,Manchester Utd,37-098,7,5,4,2,2,1,1,4
