player,nationality,position,team,age,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions
Ryan Christie,sctSCO,MF,Bournemouth,30-048,54,33,64,37,44,11,33,30
Harry Clarke,engENG,DF,Ipswich Town,24-040,5,3,6,3,5,4,1,4
Jack Clarke,engENG,"FW,MF",Ipswich Town,24-139,27,16,30,15,5,0,5,5
Nathaniel Clyne,engENG,"DF,MF",Crystal Palace,34-006,12,8,10,4,4,2,2,3
Conor Coady,engENG,DF,Leicester City,32-045,11,8,4,2,21,16,5,11
Séamus Coleman,ieIRL,DF,Everton,36-182,2,1,3,1,5,3,2,1
Nathan Collins,ieIRL,DF,Brentford,23-346,34,20,30,10,66,47,19,29
Toby Collyer,engENG,MF,Manchester Utd,21-098,12,9,6,1,2,1,1,2
Levi Colwill,engENG,DF,Chelsea,22-044,34,23,24,9,30,22,8,28
Lewis Cook,engENG,"MF,DF",Bournemouth,28-067,70,39,61,28,26,8,18,39
Maxwel Cornet,ciCIV,FW,Southampton,28-196,5,5,4,4,0,0,0,0
Vladimír Coufal,czCZE,DF,West Ham,32-232,14,9,15,9,11,10,1,6
Woyo Coulibaly,frFRA,DF,Leicester City,25-326,6,4,2,0,3,1,2,5
Aaron Cresswell,engENG,DF,West Ham,35-117,8,4,8,2,7,4,3,6
Marc Cucurella,esESP,DF,Chelsea,26-263,52,35,46,22,38,11,27,20
Jorge Cuenca,esESP,DF,Fulham,25-145,2,2,5,3,3,3,0,2
Matheus Cunha,brBRA,"MF,FW",Wolves,25-319,32,18,34,23,17,1,16,16
Patson Daka,zmZAM,"FW,MF",Leicester City,26-184,14,7,17,10,6,1,5,1
Diogo Dalot,ptPOR,DF,Manchester Utd,26-024,62,35,47,17,20,9,11,36
Mikkel Damsgaard,dkDEN,"MF,FW",Brentford,24-282,72,40,66,39,32,2,30,22
Danilo,brBRA,"MF,FW",Nott'ham Forest,23-347,2,1,3,2,1,1,0,1
Jayden Danns,engENG,MF,Liverpool,19-085,0,0,1,1,0,0,0,0
Kevin Danso,atAUT,DF,Tottenham,26-204,5,4,6,2,4,4,0,2
Ben Davies,wlsWAL,DF,Tottenham,31-352,9,5,10,5,16,11,5,9
Leif Davis,engENG,DF,Ipswich Town,25-089,45,26,46,17,22,7,15,23
Craig Dawson,engENG,DF,Wolves,34-340,15,3,15,3,16,11,5,9
Kevin De Bruyne,beBEL,MF,Manchester City,33-287,11,5,16,13,6,0,6,5
Liam Delap,engENG,FW,Ipswich Town,22-062,10,7,14,12,8,0,8,2
Sepp van den Berg,nlNED,DF,Brentford,23-112,31,18,23,9,45,31,14,18
Justin Devenny,nirNIR,MF,Crystal Palace,21-182,11,8,13,6,3,0,3,0
Kiernan Dewsbury-Hall,engENG,"MF,FW",Chelsea,26-217,8,5,6,2,2,0,2,1
Amad Diallo,ciCIV,"FW,MF",Manchester Utd,22-274,33,26,26,11,10,0,10,11
Rúben Dias,ptPOR,DF,Manchester City,27-332,13,7,8,3,14,12,2,17
Luis Díaz,coCOL,FW,Liverpool,28-088,28,18,31,20,14,0,14,6
Tyler Dibling,engENG,"FW,MF",Southampton,19-030,34,20,26,10,17,5,12,7
Lucas Digne,frFRA,DF,Aston Villa,31-265,60,34,58,18,23,4,19,25
Issa Diop,frFRA,DF,Fulham,28-092,26,12,18,5,10,7,3,9
Axel Disasi,frFRA,DF,Aston Villa,27-031,6,4,3,2,4,1,3,5
Axel Disasi,frFRA,DF,Chelsea,27-031,7,4,11,5,4,1,3,2
Roman Dixon,engENG,DF,Everton,20-106,5,5,4,0,1,0,1,1
Nasser Djiga,bfBFA,DF,Wolves,22-147,0,0,0,0,0,0,0,2
Matt Doherty,ieIRL,DF,Wolves,33-085,35,19,21,7,23,14,9,21
Jeremy Doku,beBEL,"FW,MF",Manchester City,22-319,27,19,13,6,10,1,9,4
Nicolás Domínguez,arARG,"MF,FW",Nott'ham Forest,26-287,69,36,58,31,30,10,20,25
Patrick Dorgu,dkDEN,DF,Manchester Utd,20-167,12,7,10,1,8,0,8,1
Alfie Dorrington,engENG,DF,Tottenham,19-356,0,0,0,0,0,0,0,0
Abdoulaye Doucouré,mlMLI,MF,Everton,32-100,41,24,32,21,29,6,23,7
