player,nationality,position,team,age,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,progressive_passes_received
Lucas Paquetá,brBRA,"MF,FW",West Ham,27-227,1439,41,272,802,376,53,33,39.4,51.5,738,1018,16,26,2,47,46,77
Thomas Partey,ghGHA,"MF,DF",Arsenal,31-302,1798,58,371,978,458,24,27,63.0,29.6,999,2805,30,33,2,19,11,38
Nathan Patterson,sctSCO,"DF,FW",Everton,23-177,126,6,31,51,46,4,8,87.5,0.0,50,113,4,2,2,3,1,7
Andreas Pereira,brBRA,MF,Fulham,29-100,1002,16,145,416,456,34,27,44.4,25.9,511,1114,21,31,6,20,19,71
Ricardo Pereira,ptPOR,DF,Leicester City,31-187,150,6,37,85,29,5,7,71.4,14.3,84,125,3,3,2,1,0,5
Kalvin Phillips,engENG,MF,Ipswich Town,29-130,722,60,220,388,118,4,12,41.7,50.0,302,541,4,5,0,24,10,4
Jaden Philogene Bidace,engENG,"FW,MF",Aston Villa,23-062,145,4,27,54,66,14,15,26.7,53.3,75,239,7,5,7,7,3,17
Jaden Philogene Bidace,engENG,"FW,DF",Ipswich Town,23-062,218,10,53,66,101,18,18,27.8,61.1,127,305,13,3,5,11,10,36
Jordan Pickford,engENG,GK,Everton,31-035,1378,901,1315,64,0,0,0,N/a,N/a,762,2665,0,0,0,2,0,0
Ethan Pinnock,jmJAM,DF,Brentford,31-317,1348,294,783,457,109,24,9,33.3,66.7,633,1633,3,4,0,2,4,9
Daniel Podence,ptPOR,"MF,FW",Wolves,29-172,20,0,2,11,7,0,2,100.0,0.0,13,43,1,1,0,0,0,3
Alfie Pond,engENG,DF,Wolves,21-041,1,0,0,1,0,0,0,N/a,N/a,1,2,0,0,0,0,0,0
Nick Pope,engENG,GK,Newcastle Utd,32-357,635,511,627,8,0,0,0,N/a,N/a,332,1200,0,0,0,0,1,0
Pedro Porro,esESP,DF,Tottenham,25-210,2024,122,610,732,694,29,33,33.3,60.6,1071,2489,58,37,5,23,16,95
Jarell Quansah,engENG,DF,Liverpool,22-072,258,32,128,110,20,3,2,50.0,50.0,162,483,2,3,1,3,2,3
Hákon Rafn Valdimarsson,isISL,GK,Brentford,23-180,72,60,71,1,0,0,0,N/a,N/a,44,80,0,0,0,0,0,0
Aaron Ramsdale,engENG,GK,Southampton,26-332,1029,745,1018,13,0,0,0,N/a,N/a,645,1886,0,0,0,1,0,0
Jacob Ramsey,engENG,"FW,MF",Aston Villa,23-318,638,12,121,233,294,57,36,55.6,25.0,417,1424,52,26,17,36,19,92
Marcus Rashford,engENG,"FW,MF",Manchester Utd,27-162,440,3,35,189,222,34,39,23.1,66.7,293,728,20,19,12,14,6,79
Marcus Rashford,engENG,FW,Aston Villa,27-162,170,2,12,38,121,21,17,47.1,52.9,104,379,16,7,11,4,1,35
David Raya,esESP,GK,Arsenal,29-208,1199,705,1122,77,0,0,1,100.0,0.0,740,2220,0,0,0,1,0,0
Harrison Reed,engENG,MF,Fulham,30-074,77,2,11,28,39,5,2,0.0,50.0,31,27,1,1,0,2,2,7
Remy Rees-Dottin,engENG,FW,Bournemouth,19-036,0,0,0,0,0,0,0,N/a,N/a,0,0,0,0,0,0,0,0
Sergio Reguilón,esESP,DF,Tottenham,28-116,121,2,28,61,33,3,4,50.0,0.0,64,180,4,2,1,1,1,10
Bobby Reid,jmJAM,"FW,MF",Leicester City,32-068,250,13,44,105,101,13,8,0.0,75.0,156,332,12,4,4,11,9,40
Vitor Reis,brBRA,DF,Manchester City,19-089,3,1,2,1,0,0,1,100.0,0.0,2,0,0,0,0,0,0,0
Chadi Riad,maMAR,DF,Crystal Palace,21-298,90,5,41,49,1,0,0,N/a,N/a,58,232,2,0,0,1,0,0
Declan Rice,engENG,MF,Arsenal,26-087,1637,62,274,780,600,62,25,44.0,52.0,865,2876,78,52,12,34,23,81
Chris Richards,usUSA,DF,Crystal Palace,25-014,822,93,432,349,46,13,5,20.0,80.0,382,777,5,5,0,5,5,1
Richarlison,brBRA,FW,Tottenham,27-336,116,8,19,62,36,12,9,11.1,77.8,56,138,8,7,3,4,5,17
Andrew Robertson,sctSCO,DF,Liverpool,31-031,1860,82,469,849,555,46,17,41.2,52.9,992,2524,57,47,6,23,10,90
Antonee Robinson,usUSA,DF,Fulham,27-246,2196,112,688,849,691,58,71,45.1,39.4,1170,3747,106,55,26,38,16,238
Rodri,esESP,MF,Manchester City,28-293,65,1,12,30,24,0,1,0.0,0.0,34,42,0,2,0,0,0,1
Guido Rodríguez,arARG,MF,West Ham,30-364,617,42,196,366,56,2,3,66.7,0.0,284,392,2,5,0,2,6,5
Mads Roerslev,dkDEN,DF,Brentford,25-291,645,49,234,268,146,20,19,36.8,42.1,352,858,17,13,0,9,6,54
Morgan Rogers,engENG,"FW,MF",Aston Villa,22-259,1119,32,166,491,485,120,136,40.4,46.3,651,2675,95,59,29,88,60,149
Cristian Romero,arARG,DF,Tottenham,26-349,1236,152,543,640,62,20,4,25.0,50.0,810,2590,12,17,0,6,4,3
Georginio Rutter,frFRA,"MF,FW",Brighton,22-356,641,20,83,246,326,79,71,38.0,47.9,361,1405,42,36,16,45,37,79
José Sá,ptPOR,GK,Wolves,32-084,804,639,797,8,0,0,6,100.0,0.0,498,1924,0,0,0,1,0,0
Bukayo Saka,engENG,"FW,MF",Arsenal,23-218,761,6,43,170,555,121,77,44.2,40.3,480,1911,74,22,38,26,35,204
Mohamed Salah,egEGY,FW,Liverpool,32-300,1399,10,83,424,911,291,114,44.7,52.6,957,2980,128,52,104,98,58,384
William Saliba,frFRA,DF,Arsenal,24-018,2301,162,919,1277,117,17,16,62.5,31.3,1396,3111,14,10,1,17,5,6
Robert Sánchez,esESP,GK,Chelsea,27-144,1058,775,1047,11,0,0,0,N/a,N/a,709,2136,0,0,0,0,0,0
Jadon Sancho,engENG,FW,Chelsea,25-017,864,11,110,260,504,109,91,47.3,39.6,575,2155,88,31,51,26,19,196
Ibrahim Sangaré,ciCIV,MF,Nott'ham Forest,27-130,193,8,44,123,28,7,1,0.0,100.0,75,83,0,2,0,4,1,2
Pablo Sarabia,esESP,"MF,FW",Wolves,32-335,390,3,44,193,155,20,10,50.0,30.0,232,515,11,12,0,14,11,47
Jeremy Sarmiento,ecECU,MF,Brighton,22-299,8,0,0,6,2,0,0,N/a,N/a,6,10,0,0,0,1,0,2
Ismaila Sarr,snSEN,MF,Crystal Palace,27-045,867,35,137,332,407,108,47,29.8,51.1,475,1631,59,37,24,56,38,153
Sávio,brBRA,"FW,MF",Manchester City,21-001,1022,11,51,261,727,146,109,45.9,34.9,737,3385,129,42,73,41,37,226
Oliver Scarles,engENG,DF,West Ham,19-120,380,18,113,155,116,7,6,16.7,83.3,177,378,9,9,1,10,3,38
Dane Scarlett,engENG,"FW,MF",Tottenham,21-018,9,1,3,5,1,1,0,N/a,N/a,5,33,1,0,0,0,1,1
Kevin Schade,deGER,FW,Brentford,23-135,710,32,109,193,420,112,73,34.2,57.5,367,1212,54,26,33,44,33,134
Fabian Schär,chSUI,DF,Newcastle Utd,33-112,1740,212,925,719,106,25,11,63.6,18.2,1097,2791,12,21,1,9,5,16
Jeffrey Schlupp,ghGHA,"MF,DF",Crystal Palace,32-109,79,2,9,31,41,6,1,100.0,0.0,30,67,4,1,1,7,0,9
Alex Scott,engENG,MF,Bournemouth,21-233,347,14,63,190,99,13,22,22.7,50.0,195,457,9,5,1,18,7,22
Matz Sels,beBEL,GK,Nott'ham Forest,33-044,905,686,891,14,0,0,0,N/a,N/a,444,1348,0,0,0,0,0,0
Nélson Semedo,ptPOR,DF,Wolves,31-146,1381,109,400,628,370,22,57,45.6,40.4,701,2191,60,35,9,30,16,99
Antoine Semenyo,ghGHA,FW,Bournemouth,25-094,1361,36,162,472,759,169,116,51.7,42.2,817,3060,124,61,62,72,63,242
Marcos Senesi,arARG,DF,Bournemouth,27-336,749,62,326,366,66,12,9,55.6,44.4,464,1418,12,14,0,5,5,5
Ryan Sessegnon,engENG,"FW,DF",Fulham,24-328,90,2,21,31,39,16,8,37.5,62.5,44,191,6,3,6,4,6,16
Luke Shaw,engENG,DF,Manchester Utd,29-273,107,3,46,56,5,0,0,N/a,N/a,86,143,1,2,0,1,0,0
Zain Silcott-Duberry,msMSR,FW,Bournemouth,19-276,3,0,1,0,2,0,0,N/a,N/a,1,6,0,0,0,0,0,0
Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-244,1556,37,270,612,690,125,53,47.2,41.5,969,3170,84,54,30,18,30,169
Jota Silva,ptPOR,"FW,MF",Nott'ham Forest,25-253,322,18,79,88,166,42,32,31.3,43.8,158,551,18,10,8,23,11,50
Eric da Silva Moreira,deGER,"MF,DF",Nott'ham Forest,18-343,13,3,7,4,2,0,1,0.0,100.0,4,11,1,0,0,1,0,1
Jahmai Simpson-Pusey,engENG,DF,Manchester City,19-158,123,9,61,59,3,1,1,0.0,0.0,79,190,1,0,0,1,0,0
Luis Sinisterra,coCOL,"FW,MF",Bournemouth,25-298,155,7,18,41,96,23,20,40.0,50.0,95,393,19,6,10,6,3,38
Oliver Skipp,engENG,MF,Leicester City,24-207,441,22,103,281,61,6,9,44.4,55.6,254,506,14,7,2,10,5,14
William Smallbone,ieIRL,MF,Southampton,25-049,359,15,72,175,116,14,4,100.0,0.0,160,329,5,7,1,9,5,21
Adam Smith,engENG,DF,Bournemouth,33-347,562,31,181,258,127,3,12,33.3,41.7,241,436,10,13,0,10,5,19
Emile Smith Rowe,engENG,MF,Fulham,24-257,1067,20,148,504,425,51,33,48.5,45.5,699,1797,50,37,11,31,13,106
Dominic Solanke,engENG,FW,Tottenham,27-209,602,31,66,274,268,105,48,33.3,60.4,355,777,29,20,14,62,44,84
Carlos Soler,esESP,"MF,FW",West Ham,28-099,646,21,154,331,166,19,17,47.1,47.1,302,642,13,15,4,9,12,24
Ramón Sosa,pyPAR,"FW,MF",Nott'ham Forest,25-223,135,5,32,40,68,12,11,72.7,27.3,65,303,11,6,4,5,5,15
Tomáš Souček,czCZE,MF,West Ham,30-043,1070,105,293,526,255,93,11,54.5,45.5,413,439,6,10,3,16,10,58
Boubakary Soumaré,frFRA,MF,Leicester City,26-043,1191,51,304,760,140,14,41,63.4,26.8,708,1720,29,14,2,19,20,21
Djed Spence,engENG,DF,Tottenham,24-245,1040,58,356,471,228,20,57,50.9,40.4,607,1899,38,33,6,21,21,56
Jay Stansfield,engENG,MF,Fulham,22-138,0,0,0,0,0,0,0,N/a,N/a,0,0,0,0,0,0,0,0
Jason Steele,engENG,GK,Brighton,34-236,114,107,114,0,0,0,0,N/a,N/a,91,151,0,0,0,0,0,0
Jack Stephens,engENG,DF,Southampton,31-074,748,75,307,369,76,6,3,0.0,100.0,415,932,11,10,1,1,1,1
Raheem Sterling,engENG,"FW,MF",Arsenal,30-124,210,1,7,45,161,33,22,40.9,31.8,152,588,21,9,14,10,13,63
Ross Stewart,sctSCO,"FW,MF",Southampton,28-274,64,5,13,32,19,2,2,50.0,50.0,36,59,1,0,0,1,5,5
Jakub Stolarczyk,plPOL,GK,Leicester City,24-113,241,179,236,6,0,0,0,N/a,N/a,130,396,0,0,0,1,0,0
John Stones,engENG,"DF,MF",Manchester City,30-318,442,40,142,234,68,4,2,100.0,0.0,292,1183,10,14,0,2,0,2
Jørgen Strand Larsen,noNOR,FW,Wolves,25-064,624,32,80,297,248,91,14,42.9,57.1,290,400,13,11,7,79,29,92
Yukinari Sugawara,jpJPN,"DF,MF",Southampton,24-287,1016,61,306,395,320,29,20,45.0,50.0,548,1352,32,15,7,18,4,76
Kamaldeen Sulemana,ghGHA,"FW,MF",Southampton,23-055,401,10,48,149,216,40,73,41.1,50.7,266,1176,47,30,18,31,19,64
Crysencio Summerville,nlNED,"FW,MF",West Ham,23-163,372,9,47,147,181,38,39,33.3,46.2,207,762,29,15,13,20,16,71
Sammie Szmodics,ieIRL,"FW,MF",Ipswich Town,29-199,309,17,80,119,116,33,12,33.3,50.0,174,399,16,8,7,24,17,46
Dominik Szoboszlai,huHUN,MF,Liverpool,24-168,1355,21,174,660,539,89,35,54.3,37.1,702,1992,63,44,17,34,20,115
Matt Targett,engENG,DF,Newcastle Utd,29-205,8,0,1,4,3,0,0,N/a,N/a,2,1,0,0,0,0,0,0
James Tarkowski,engENG,DF,Everton,32-143,1612,346,928,594,99,50,7,71.4,28.6,688,1772,9,10,0,12,7,3
Marcus Tavernier,engENG,"FW,MF",Bournemouth,26-020,905,17,100,345,480,47,47,42.6,51.1,510,1435,36,33,7,36,41,101
Charlie Taylor,engENG,DF,Southampton,31-205,219,21,93,91,36,1,2,100.0,0.0,91,155,3,3,0,1,1,6
Jack Taylor,ieIRL,MF,Ipswich Town,26-292,380,21,105,207,76,6,5,40.0,40.0,193,629,9,8,1,7,6,16
Mathys Tel,frFRA,FW,Tottenham,19-349,117,0,13,45,62,17,16,18.8,68.8,85,235,8,7,3,8,6,17
Kenny Tete,nlNED,DF,Fulham,29-184,881,48,273,383,232,26,17,47.1,23.5,460,1126,33,17,7,16,10,39
Thiago,brBRA,FW,Brentford,23-289,56,6,11,23,23,2,3,66.7,33.3,34,42,3,2,1,5,1,4
Luke Thomas,engENG,DF,Leicester City,23-305,417,28,155,205,60,4,5,40.0,60.0,201,342,2,2,1,7,0,9
Youri Tielemans,beBEL,MF,Aston Villa,27-339,2067,89,424,1183,481,33,55,52.7,30.9,1106,2158,31,23,8,29,25,38
Kieran Tierney,sctSCO,"DF,FW",Arsenal,27-310,61,1,7,22,32,4,1,0.0,100.0,24,75,3,2,1,1,0,11
Jurriën Timber,nlNED,DF,Arsenal,23-298,1564,50,280,802,489,66,53,45.3,45.3,831,1915,53,26,11,32,23,103
Jean-Clair Todibo,frFRA,DF,West Ham,25-102,865,123,485,354,33,9,13,53.8,46.2,511,1154,7,5,0,6,7,4
Harry Toffolo,engENG,DF,Nott'ham Forest,29-235,44,3,13,10,21,2,0,N/a,N/a,10,11,0,0,0,0,0,4
Takehiro Tomiyasu,jpJPN,DF,Arsenal,26-157,7,1,4,1,2,1,0,N/a,N/a,1,5,0,0,0,0,0,0
Sandro Tonali,itITA,MF,Newcastle Utd,24-338,1259,49,301,701,279,31,29,58.6,31.0,698,1573,29,30,4,21,23,38
Pau Torres,esESP,DF,Aston Villa,28-085,1241,190,591,581,75,13,16,87.5,12.5,772,3343,31,19,0,3,3,4
Conor Townsend,engENG,DF,Ipswich Town,32-038,164,25,82,48,36,5,0,N/a,N/a,51,129,2,2,0,2,2,12
Adama Traoré,esESP,"FW,MF",Fulham,29-076,676,2,71,242,383,82,83,48.2,38.6,461,2097,80,39,32,30,18,135
Boubacar Traoré,mlMLI,MF,Wolves,23-234,2,0,0,2,0,0,0,N/a,N/a,0,0,0,0,0,0,0,0
Mark Travers,ieIRL,GK,Bournemouth,25-328,162,144,159,3,0,0,0,N/a,N/a,85,188,0,0,0,0,0,0
Ryan Trevitt,engENG,MF,Brentford,22-030,7,1,2,4,1,0,0,N/a,N/a,4,2,0,0,0,0,0,1
Kieran Trippier,engENG,DF,Newcastle Utd,34-204,901,37,290,389,228,8,5,80.0,20.0,416,853,16,6,3,7,4,30
Leandro Trossard,beBEL,FW,Arsenal,30-128,983,14,111,302,586,117,67,40.3,46.3,621,1737,67,45,25,45,36,179
Kostas Tsimikas,grGRE,DF,Liverpool,28-334,487,23,121,220,148,8,4,75.0,25.0,231,570,13,5,2,4,2,25
Axel Tuanzebe,cdCOD,DF,Ipswich Town,27-148,718,66,301,324,99,6,9,44.4,55.6,309,665,7,6,1,10,1,7
Destiny Udogie,itITA,DF,Tottenham,22-134,1287,57,353,572,376,48,30,40.0,50.0,714,2187,51,38,11,31,19,92
Manuel Ugarte Ribeiro,uyURU,MF,Manchester Utd,24-000,909,36,261,507,155,14,24,45.8,37.5,517,869,9,9,1,26,19,18
Lesley Ugochukwu,frFRA,MF,Southampton,21-016,659,30,141,387,137,18,23,73.9,21.7,361,893,22,11,5,8,8,18
Enes Ünal,trTUR,"FW,MF",Bournemouth,27-336,172,6,14,63,95,26,12,8.3,83.3,91,95,4,3,1,17,13,22
Virgil van Dijk,nlNED,DF,Liverpool,33-277,2740,369,1096,1519,133,37,5,60.0,40.0,1550,4152,17,19,3,5,4,5
Jamie Vardy,engENG,FW,Leicester City,38-090,504,25,50,227,232,99,20,45.0,50.0,242,610,27,11,14,31,12,103
Renato Veiga,ptPOR,"DF,MF",Chelsea,21-256,167,2,61,82,27,3,5,60.0,40.0,85,144,4,5,1,1,0,3
Joël Veltman,nlNED,DF,Brighton,33-086,1097,64,327,540,240,10,15,26.7,33.3,524,1414,29,22,3,19,7,32
Micky van de Ven,nlNED,DF,Tottenham,23-357,808,100,425,359,33,9,8,50.0,50.0,564,1301,8,10,1,5,4,1
Bart Verbruggen,nlNED,GK,Brighton,22-236,1137,921,1125,12,0,0,2,100.0,0.0,760,1352,0,1,1,2,0,0
Jannik Vestergaard,dkDEN,DF,Leicester City,32-251,1092,196,572,497,28,10,4,100.0,0.0,672,1458,3,3,0,2,0,2
Guglielmo Vicario,itITA,GK,Tottenham,28-186,742,492,727,15,0,0,1,100.0,0.0,536,1420,0,0,0,0,0,0
Carlos Vinícius,brBRA,MF,Fulham,30-017,3,0,0,1,2,2,1,100.0,0.0,3,9,1,0,1,0,0,1
Kyle Walker,engENG,DF,Manchester City,34-318,892,26,197,473,228,5,6,50.0,33.3,499,1106,12,13,0,9,2,11
Kyle Walker-Peters,engENG,DF,Southampton,27-363,1810,133,550,791,483,53,79,39.2,44.3,1117,3964,108,65,22,26,34,124
Christian Walton,engENG,GK,Ipswich Town,29-153,242,224,241,1,0,0,0,N/a,N/a,122,305,0,0,0,0,0,0
Aaron Wan-Bissaka,engENG,DF,West Ham,27-136,1848,127,588,791,496,37,92,52.2,35.9,862,3102,91,52,11,27,18,126
Danny Ward,wlsWAL,GK,Leicester City,31-293,55,40,55,0,0,0,1,0.0,100.0,44,107,0,0,0,0,0,0
Joel Ward,engENG,DF,Crystal Palace,35-164,2,0,0,2,0,0,0,N/a,N/a,0,0,0,0,0,0,0,0
James Ward-Prowse,engENG,MF,West Ham,30-161,470,19,106,278,86,2,1,100.0,0.0,225,409,6,10,0,1,3,2
James Ward-Prowse,engENG,MF,Nott'ham Forest,30-161,205,13,49,115,45,1,0,N/a,N/a,92,170,1,3,0,3,3,3
Ollie Watkins,engENG,FW,Aston Villa,29-102,576,17,43,209,333,142,36,22.2,69.4,340,963,47,20,32,46,42,133
Adam Webster,engENG,DF,Brighton,30-097,569,84,279,271,22,8,3,33.3,66.7,326,1142,7,2,0,3,1,2
Danny Welbeck,engENG,FW,Brighton,34-136,538,10,42,238,262,73,29,34.5,55.2,314,612,17,19,6,38,22,65
Welington,brBRA,"DF,MF",Southampton,24-051,122,11,45,44,36,2,4,75.0,0.0,42,113,3,3,1,6,0,10
Timo Werner,deGER,"FW,MF",Tottenham,29-036,298,8,24,78,203,33,19,52.6,42.1,215,1062,42,24,18,14,6,89
Adam Wharton,engENG,MF,Crystal Palace,20-313,700,21,158,372,173,8,9,22.2,77.8,346,814,11,16,2,13,12,10
Ben White,engENG,DF,Arsenal,27-185,478,42,153,215,112,13,2,0.0,50.0,217,396,5,8,1,7,3,19
Mats Wieffer,nlNED,MF,Brighton,25-146,481,26,114,284,90,10,9,44.4,55.6,265,456,5,6,0,10,7,9
Neco Williams,wlsWAL,DF,Nott'ham Forest,23-363,1141,119,409,404,342,35,39,38.5,43.6,472,1617,53,25,14,17,14,75
Willian,brBRA,"MF,FW",Fulham,36-245,135,1,16,51,72,4,4,0.0,75.0,86,313,5,4,2,3,1,15
Joe Willock,engENG,"MF,FW",Newcastle Utd,25-234,408,10,61,169,185,36,31,35.5,45.2,255,801,30,22,11,31,22,68
Callum Wilson,engENG,FW,Newcastle Utd,33-043,58,1,5,33,23,12,5,20.0,40.0,30,86,4,4,4,6,7,7
Harry Wilson,wlsWAL,"FW,MF",Fulham,28-020,436,7,58,160,226,44,23,39.1,39.1,263,610,16,17,8,13,4,71
Harry Winks,engENG,MF,Leicester City,29-068,1158,49,275,746,151,1,12,25.0,66.7,696,1522,19,13,0,13,8,11
Ben Winterburn,engENG,"FW,MF",Bournemouth,20-219,9,0,2,5,2,1,0,N/a,N/a,6,40,2,0,1,0,0,2
Yoane Wissa,cdCOD,FW,Brentford,28-220,755,27,115,308,345,130,40,30.0,47.5,444,1220,45,17,25,58,25,126
Chris Wood,nzNZL,FW,Nott'ham Forest,33-125,605,30,70,289,248,78,10,40.0,50.0,303,424,13,9,5,62,21,72
Nathan Wood-Gordon,engENG,DF,Southampton,22-315,457,54,219,212,27,2,5,60.0,20.0,253,454,2,6,0,4,1,0
Luke Woolfenden,engENG,DF,Ipswich Town,26-172,608,126,345,254,9,3,0,N/a,N/a,331,1111,7,3,0,4,0,0
Yehor Yarmoliuk,uaUKR,MF,Brentford,21-041,649,42,176,329,158,14,20,45.0,45.0,327,575,12,14,2,19,15,40
Ryan Yates,engENG,MF,Nott'ham Forest,27-141,929,70,244,456,239,37,18,50.0,27.8,378,849,17,18,1,22,18,12
Leny Yoro,frFRA,DF,Manchester Utd,19-149,663,56,296,318,51,10,2,50.0,50.0,465,1250,15,10,1,2,2,4
Ashley Young,engENG,"DF,FW",Everton,39-276,1015,51,311,433,276,9,14,35.7,50.0,397,1176,19,24,1,8,1,25
Illia Zabarnyi,uaUKR,DF,Bournemouth,22-222,1652,196,790,829,52,11,8,62.5,25.0,1023,3836,18,14,0,14,3,3
Oleksandr Zinchenko,uaUKR,"DF,MF",Arsenal,28-117,263,10,57,144,63,14,2,50.0,0.0,144,331,7,3,2,2,2,7
Joshua Zirkzee,nlNED,"FW,MF",Manchester Utd,23-324,565,16,69,291,211,53,33,27.3,72.7,316,471,13,20,4,40,29,69
Martin Ødegaard,noNOR,MF,Arsenal,26-115,1294,6,89,540,679,84,47,42.6,55.3,883,2695,66,57,18,26,36,125
