player,nationality,position,team,age,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,progressive_passes_received
David Brooks,wlsWAL,"FW,MF",Bournemouth,27-277,427,12,53,160,222,32,30,26.7,63.3,262,792,25,20,8,26,10,72
Emi Buendía,arARG,"MF,FW",Aston Villa,28-107,82,0,17,35,31,3,2,0.0,100.0,53,119,3,5,0,4,3,6
Santiago Bueno,uyURU,DF,Wolves,26-153,937,151,475,447,18,6,2,0.0,100.0,514,1376,1,2,0,2,2,1
Facundo Buonanotte,arARG,"FW,MF",Leicester City,20-109,805,23,117,412,289,32,74,33.8,60.8,442,1261,37,26,8,51,37,63
Cameron Burgess,auAUS,DF,Ipswich Town,29-172,750,163,435,275,41,21,0,N/a,N/a,346,845,2,4,0,2,0,3
Dan Burn,engENG,DF,Newcastle Utd,32-337,1819,312,1060,682,80,37,3,100.0,0.0,1042,2039,6,3,1,19,3,6
Wes Burns,wlsWAL,"FW,DF",Ipswich Town,30-139,350,21,69,129,160,18,24,37.5,58.3,216,696,38,13,10,17,13,65
Moisés Caicedo,ecECU,MF,Chelsea,23-160,2140,77,461,1316,384,12,47,40.4,38.3,1192,2635,35,23,2,30,20,28
Tom Cairney,sctSCO,MF,Fulham,34-081,506,5,69,275,169,7,11,36.4,27.3,343,807,13,15,3,4,3,21
Jens Cajuste,seSWE,MF,Ipswich Town,25-244,831,49,230,438,175,11,41,56.1,29.3,379,1110,23,20,3,19,11,14
Riccardo Calafiori,itITA,DF,Arsenal,22-327,628,30,161,249,222,29,13,69.2,23.1,291,839,21,12,3,11,5,29
Dominic Calvert-Lewin,engENG,FW,Everton,28-026,491,21,38,204,254,82,25,40.0,52.0,268,444,22,8,16,71,32,105
Diego Carlos,brBRA,DF,Aston Villa,32-027,674,86,331,330,15,6,2,100.0,0.0,419,1162,3,3,0,1,2,0
Fabio Carvalho,ptPOR,"FW,MF",Brentford,22-224,247,4,44,91,113,22,14,14.3,71.4,137,356,9,3,0,13,8,23
Casemiro,brBRA,MF,Manchester Utd,33-047,1039,67,309,523,215,37,6,50.0,50.0,546,775,4,10,0,10,10,26
Kaelan Casey,engENG,DF,West Ham,20-165,1,1,1,0,0,0,0,N/a,N/a,0,0,0,0,0,0,0,0
Matty Cash,plPOL,DF,Aston Villa,27-247,837,59,304,340,203,33,32,46.9,43.8,413,1381,39,31,4,14,6,53
Eiran Cashin,ieIRL,DF,Brighton,23-153,30,2,9,19,2,0,1,0.0,100.0,19,99,0,0,0,0,0,1
Timothy Castagne,beBEL,DF,Fulham,29-127,1077,85,419,431,232,30,10,40.0,40.0,521,1016,17,14,2,13,5,65
Trevoh Chalobah,engENG,DF,Crystal Palace,25-280,594,66,275,276,51,14,10,60.0,20.0,278,661,11,9,1,4,7,6
Trevoh Chalobah,engENG,DF,Chelsea,25-280,411,33,190,197,28,7,3,33.3,0.0,222,333,2,2,0,3,2,0
Conor Chaplin,engENG,"MF,FW",Ipswich Town,28-054,286,6,47,144,100,12,6,50.0,50.0,138,380,10,7,0,9,3,20
Youssef Chermiti,ptPOR,"FW,MF",Everton,20-322,8,0,0,2,6,2,1,100.0,0.0,4,1,0,0,0,0,0,4
Federico Chiesa,itITA,FW,Liverpool,27-168,32,0,5,12,15,4,1,0.0,100.0,22,35,2,0,1,1,3,6
Ben Chilwell,engENG,DF,Crystal Palace,28-111,83,6,30,33,21,1,3,0.0,66.7,34,99,1,0,0,2,2,7
Chiquinho,ptPOR,MF,Wolves,25-065,3,0,0,1,2,1,0,N/a,N/a,1,5,0,0,0,0,0,0
Hamza Choudhury,bdBAN,"MF,DF",Leicester City,27-192,100,4,19,61,20,3,4,75.0,25.0,63,130,4,2,2,1,0,6
Ryan Christie,sctSCO,MF,Bournemouth,30-048,1376,74,256,773,372,46,48,47.9,45.8,726,1773,34,40,8,44,25,44
Harry Clarke,engENG,DF,Ipswich Town,24-040,268,18,100,122,47,2,2,50.0,50.0,118,222,5,7,0,4,2,2
Jack Clarke,engENG,"FW,MF",Ipswich Town,24-139,421,11,92,172,168,28,34,58.8,29.4,245,849,25,14,9,19,14,47
Nathaniel Clyne,engENG,"DF,MF",Crystal Palace,34-006,262,17,103,124,35,3,1,0.0,100.0,155,306,6,2,3,4,2,8
Conor Coady,engENG,DF,Leicester City,32-045,772,139,416,344,12,3,1,100.0,0.0,511,1173,2,2,1,4,2,0
Séamus Coleman,ieIRL,DF,Everton,36-182,100,11,39,43,19,2,5,80.0,20.0,43,109,1,1,0,1,1,2
Nathan Collins,ieIRL,DF,Brentford,23-346,2037,327,1076,822,149,58,12,50.0,41.7,1069,3358,24,8,0,15,8,17
Toby Collyer,engENG,MF,Manchester Utd,21-098,129,9,46,59,25,3,2,50.0,50.0,68,56,0,0,0,11,1,2
Levi Colwill,engENG,DF,Chelsea,22-044,2406,300,1110,1204,100,25,8,62.5,37.5,1368,3424,10,10,1,10,7,7
Lewis Cook,engENG,"MF,DF",Bournemouth,28-067,1676,72,387,882,426,19,16,62.5,37.5,742,2048,33,26,4,28,15,46
Maxwel Cornet,ciCIV,FW,Southampton,28-196,34,1,8,14,13,2,1,0.0,100.0,16,26,1,0,1,3,0,5
Vladimír Coufal,czCZE,DF,West Ham,32-232,484,48,188,191,106,8,7,28.6,28.6,190,425,11,4,1,8,5,21
Woyo Coulibaly,frFRA,DF,Leicester City,25-326,76,8,27,31,20,4,1,0.0,100.0,48,169,4,2,1,4,0,2
Aaron Cresswell,engENG,DF,West Ham,35-117,495,33,196,236,68,1,1,100.0,0.0,200,388,4,7,0,3,0,2
Marc Cucurella,esESP,DF,Chelsea,26-263,1788,91,543,827,425,59,12,33.3,58.3,767,1892,29,14,2,25,5,96
Jorge Cuenca,esESP,DF,Fulham,25-145,152,23,88,59,6,1,2,100.0,0.0,65,116,0,1,0,1,0,0
Matheus Cunha,brBRA,"MF,FW",Wolves,25-319,1267,20,156,579,577,106,115,42.6,45.2,715,2702,92,74,32,67,42,137
Patson Daka,zmZAM,"FW,MF",Leicester City,26-184,212,8,36,99,81,20,15,13.3,66.7,119,255,8,6,2,16,10,30
Diogo Dalot,ptPOR,DF,Manchester Utd,26-024,1889,113,638,739,526,64,47,51.1,40.4,1077,2578,60,36,15,35,17,157
Mikkel Damsgaard,dkDEN,"MF,FW",Brentford,24-282,1526,32,272,693,583,65,84,52.4,35.7,863,2453,59,38,8,53,40,110
Danilo,brBRA,"MF,FW",Nott'ham Forest,23-347,111,6,33,67,12,0,5,40.0,60.0,41,55,2,0,0,6,0,1
Jayden Danns,engENG,MF,Liverpool,19-085,2,0,0,0,2,0,0,N/a,N/a,1,1,0,0,0,0,1,0
Kevin Danso,atAUT,DF,Tottenham,26-204,334,42,179,141,15,7,2,50.0,50.0,242,466,2,0,0,6,0,0
